,Gender,Married,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,TotalIncome_log,Loan_Status
0,1,1,1,0,128.0,360.0,1,1,0,0,0,1,0,0,8.714567550836485,0
1,1,1,1,1,66.0,360.0,1,0,0,1,1,0,0,0,8.006400900428037,1
2,1,1,0,0,120.0,360.0,1,0,0,1,1,0,0,0,8.50532301884575,1
3,1,0,1,0,141.0,360.0,1,0,0,1,1,0,0,0,8.699531414737972,1
4,1,1,1,1,267.0,360.0,1,0,0,1,0,0,1,0,9.170871628065816,1
5,1,1,0,0,95.0,360.0,1,0,0,1,1,0,0,0,8.255568653283746,1
6,1,1,1,0,158.0,360.0,0,0,1,0,0,0,0,1,8.61974977974133,0
7,1,1,1,0,168.0,360.0,1,0,0,1,0,0,1,0,8.61830469278465,1
9,1,1,1,0,70.0,360.0,1,0,0,1,0,0,1,0,8.268731832117737,1
10,1,1,1,0,109.0,360.0,1,0,0,1,0,0,1,0,8.375629627094451,1
11,1,1,1,0,200.0,360.0,1,0,0,1,0,0,1,0,9.321792297270326,1
12,1,0,1,0,114.0,360.0,1,1,0,0,1,0,0,0,8.453827315794417,0
13,1,1,1,0,17.0,120.0,1,0,0,1,0,0,1,0,7.776954403322442,1
14,1,0,1,0,125.0,360.0,1,0,0,1,1,0,0,0,8.50716305737888,1
15,0,0,1,0,76.0,360.0,0,0,0,1,1,0,0,0,8.163399806082568,0
16,1,1,0,0,133.0,360.0,1,1,0,0,1,0,0,0,8.494354359512203,0
17,1,1,1,0,115.0,360.0,1,0,0,1,1,0,0,0,8.716044050161402,1
18,1,1,0,0,104.0,360.0,0,0,0,1,1,0,0,0,8.94378031747971,0
20,1,1,0,0,116.0,360.0,0,0,1,0,1,0,0,0,8.414274137408396,0
21,1,1,0,0,112.0,360.0,0,1,0,0,0,0,1,0,8.572060092857077,0
22,1,1,1,1,191.0,360.0,1,0,1,0,1,0,0,0,9.165353466241784,1
23,1,1,1,0,122.0,360.0,1,0,1,0,1,0,0,0,8.527539483470381,1
24,1,1,0,0,110.0,360.0,1,0,0,1,0,0,1,0,8.569026340056254,1
25,1,0,0,0,35.0,360.0,1,0,0,1,1,0,0,0,7.273855663568025,0
26,0,0,1,0,120.0,360.0,1,0,1,0,0,0,1,0,8.671286726753637,1
27,1,0,1,0,74.0,360.0,1,0,0,1,1,0,0,0,8.060571621663758,0
28,1,0,1,1,106.0,360.0,1,1,0,0,0,1,0,0,8.453635522419225,0
29,1,1,1,0,114.0,360.0,1,0,1,0,1,0,0,0,8.550047528287184,1
31,1,1,1,0,100.0,360.0,0,0,0,1,1,0,0,0,8.057694194815587,0
32,0,1,1,0,144.0,360.0,1,0,1,0,1,0,0,0,8.542080906924017,1
33,1,0,1,0,184.0,360.0,1,0,0,1,1,0,0,0,9.339261152043022,1
34,1,0,0,0,110.0,360.0,1,0,1,0,1,0,0,0,8.59711281459211,1
35,1,0,1,0,80.0,360.0,1,0,0,1,1,0,0,0,8.188716901836184,0
36,1,0,1,0,47.0,360.0,1,0,0,1,1,0,0,0,8.0106915391303,1
37,1,1,1,0,134.0,360.0,1,0,1,0,1,0,0,0,8.744647438317532,1
38,1,1,0,1,96.0,360.0,1,0,0,1,1,0,0,0,8.454274690670063,1
39,0,0,1,0,88.0,360.0,1,0,0,1,1,0,0,0,8.134496895360774,1
40,1,1,1,0,44.0,360.0,1,0,0,1,0,1,0,0,8.639251519416765,1
41,1,1,1,0,144.0,360.0,1,0,0,1,1,0,0,0,8.669244526303011,1
42,0,1,1,0,120.0,360.0,0,0,0,1,1,0,0,0,8.713582005421628,0
43,0,0,1,0,144.0,360.0,1,0,1,0,1,0,0,0,8.744328763999984,1
44,0,1,0,0,100.0,360.0,1,0,1,0,1,0,0,0,8.18088094199639,1
45,0,0,1,0,120.0,360.0,1,0,1,0,1,0,0,0,8.034663436805094,1
46,0,0,1,0,112.0,360.0,1,0,1,0,1,0,0,0,8.349980912422826,0
47,1,1,1,0,134.0,360.0,1,0,0,1,0,0,1,0,8.437305471731442,0
48,0,1,1,1,286.0,360.0,0,0,0,1,0,1,0,0,9.350111009965708,0
49,1,1,1,0,97.0,360.0,1,0,1,0,0,0,1,0,8.262300941787448,1
50,1,1,1,0,96.0,360.0,1,0,1,0,1,0,0,0,8.222285073872717,1
51,1,1,1,0,135.0,360.0,1,1,0,0,1,0,0,0,8.624431942085836,0
52,1,1,1,0,180.0,360.0,1,0,0,1,0,1,0,0,9.242807562113684,1
53,1,1,0,0,144.0,360.0,1,0,0,1,0,0,1,0,8.734881892047483,1
54,1,1,1,0,120.0,360.0,1,0,0,1,1,0,0,0,8.74766979009724,1
55,1,1,1,0,99.0,360.0,1,0,0,1,0,0,0,1,8.016020824678385,1
56,1,1,0,1,165.0,180.0,0,1,0,0,1,0,0,0,8.709134991587183,0
57,0,0,1,0,116.0,360.0,0,0,1,0,1,0,0,0,8.334735625373444,0
58,1,1,1,0,258.0,360.0,1,0,1,0,1,0,0,0,9.241935933565934,0
59,1,0,0,0,126.0,180.0,0,0,0,1,1,0,0,0,8.604104563405533,0
61,1,1,0,1,125.0,60.0,1,0,0,1,0,0,0,1,8.867864147437263,1
62,0,0,1,0,136.0,360.0,0,0,1,0,1,0,0,0,8.366393557225194,0
63,1,1,1,0,172.0,360.0,1,0,0,1,1,0,0,0,8.744169388750624,1
64,1,1,0,1,97.0,360.0,1,0,1,0,0,0,1,0,8.229511118964457,1
65,1,0,1,0,81.0,300.0,1,0,1,0,1,0,0,0,8.16054681849792,1
66,1,1,0,0,95.0,360.0,0,0,1,0,0,0,0,1,8.46697300525257,0
67,1,1,1,1,187.0,360.0,1,0,1,0,0,0,0,1,8.859363449152088,1
68,1,0,1,0,113.0,480.0,1,0,0,1,1,0,0,0,8.229537785275573,0
69,1,0,1,0,176.0,360.0,1,0,0,1,1,0,0,0,9.047821442478408,0
70,1,1,1,1,110.0,360.0,1,0,0,1,0,1,0,0,8.299534570332597,0
71,1,1,1,0,180.0,300.0,0,0,1,0,0,0,0,1,8.877242435993919,0
72,0,0,1,0,111.0,360.0,1,0,1,0,1,0,0,0,8.254814926850745,1
73,0,1,1,0,167.0,360.0,1,0,0,1,0,0,1,0,8.089175678837561,0
74,1,1,1,0,50.0,240.0,1,0,0,1,0,1,0,0,8.291070205993028,1
75,1,0,1,0,136.0,360.0,1,0,1,0,1,0,0,0,8.496378051702317,1
76,1,1,1,0,104.0,360.0,1,0,1,0,1,0,0,0,8.43771698991444,1
77,1,0,1,0,210.0,360.0,1,0,0,1,1,0,0,0,9.055567832167414,1
78,1,1,1,0,175.0,360.0,1,0,1,0,1,0,0,0,9.196444266784072,1
79,1,1,1,0,131.0,360.0,1,0,1,0,1,0,0,0,8.675563527387679,1
80,1,1,1,0,188.0,180.0,1,0,1,0,0,0,1,0,9.384629757072872,1
81,1,1,0,0,81.0,360.0,1,0,0,1,0,0,1,0,8.535622326884605,1
82,1,0,1,0,122.0,360.0,1,0,1,0,1,0,0,0,8.326783009718664,1
83,1,0,0,0,25.0,120.0,1,0,1,0,1,0,0,0,8.194256928747665,1
84,0,1,1,0,137.0,360.0,1,0,1,0,1,0,0,0,8.47345026846832,1
85,1,1,1,0,50.0,360.0,1,0,1,0,1,0,0,0,7.9976631270201,1
86,1,1,0,0,115.0,180.0,1,0,1,0,1,0,0,0,8.3400024494513,1
87,1,1,1,0,131.0,360.0,1,0,1,0,1,0,0,0,8.575462099540212,1
88,1,1,0,0,133.0,180.0,1,0,0,1,0,0,1,0,8.929435283803425,1
89,1,0,1,0,151.0,360.0,1,0,1,0,1,0,0,0,9.065198986306513,1
90,1,1,1,0,160.0,360.0,1,0,0,1,1,0,0,0,8.42726848388825,1
91,1,1,1,0,100.0,360.0,1,0,0,1,0,1,0,0,8.31434234336979,1
92,1,1,1,0,225.0,360.0,1,0,0,1,0,0,1,0,9.436918020024674,1
93,1,0,0,0,120.0,360.0,1,1,0,0,1,0,0,0,8.900153624984316,0
94,1,1,1,0,216.0,360.0,0,0,0,1,0,0,1,0,8.909235279192261,0
95,1,1,0,0,94.0,480.0,1,0,1,0,0,0,0,1,7.946263643580541,1
96,1,0,1,0,136.0,360.0,1,0,0,1,1,0,0,0,8.578495230792402,1
97,0,1,1,0,139.0,360.0,1,0,1,0,1,0,0,0,8.568266461600238,1
98,1,1,0,0,152.0,360.0,0,1,0,0,1,0,0,0,8.94715577112479,0
99,1,0,1,0,118.0,360.0,1,0,1,0,1,0,0,0,8.527163324053546,1
100,1,1,1,0,185.0,180.0,1,1,0,0,0,1,0,0,9.58761860298965,1
101,0,1,1,0,154.0,360.0,1,0,1,0,1,0,0,0,8.60337088765729,1
102,1,1,1,0,175.0,360.0,1,1,0,0,1,0,0,0,8.950273466557375,0
103,0,0,1,0,259.0,360.0,1,0,0,1,1,0,0,0,9.250339628140036,1
104,1,1,1,0,180.0,360.0,1,1,0,0,1,0,0,0,9.0280988119824,1
105,0,0,1,0,44.0,360.0,1,0,1,0,1,0,0,0,8.334735625373444,1
106,0,0,1,0,137.0,360.0,0,0,1,0,1,0,0,0,9.316230747233615,1
107,1,1,1,0,81.0,360.0,1,0,1,0,0,0,1,0,7.991964337339503,1
108,1,1,0,0,194.0,360.0,1,1,0,0,1,0,0,0,8.750524669117937,1
110,1,1,1,1,160.0,180.0,0,0,0,1,0,1,0,0,9.572410734431823,0
111,1,0,1,0,74.0,360.0,1,0,0,1,1,0,0,0,8.279697133877628,1
112,1,0,1,0,70.0,360.0,1,0,1,0,1,0,0,0,7.907688385792935,1
113,1,1,1,1,25.0,120.0,1,0,1,0,1,0,0,0,8.148763718608901,1
114,1,0,1,0,102.0,360.0,1,0,1,0,1,0,0,0,8.495989983765135,1
115,1,1,1,0,290.0,360.0,1,0,1,0,0,0,0,1,9.371608519572305,0
116,0,1,1,0,84.0,360.0,1,1,0,0,1,0,0,0,8.430130904039787,0
117,1,1,1,1,88.0,360.0,1,0,0,1,0,0,1,0,8.827028068509152,1
118,1,0,1,0,242.0,360.0,0,0,1,0,1,0,0,0,9.615745478284275,0
119,1,1,0,0,129.0,360.0,1,1,0,0,0,0,1,0,8.635864721133736,0
120,1,1,1,0,185.0,360.0,1,1,0,0,0,0,1,0,8.871365005136852,0
121,1,0,1,0,168.0,360.0,1,0,0,1,1,0,0,0,8.597315895889945,1
122,1,0,1,1,175.0,180.0,1,0,1,0,1,0,0,0,8.846511326944533,1
123,1,1,1,0,122.0,360.0,1,0,1,0,1,0,0,0,8.462103225098277,1
124,1,1,1,0,187.0,180.0,1,0,0,1,0,0,1,0,9.372212592402718,1
125,0,1,1,0,100.0,360.0,1,0,1,0,1,0,0,0,8.827028068509152,1
126,0,1,1,0,70.0,360.0,1,0,0,1,0,0,1,0,9.606838732021663,1
127,1,1,1,0,30.0,360.0,1,0,0,1,0,1,0,0,7.993957547573565,1
128,0,0,1,0,225.0,360.0,1,1,0,0,1,0,0,0,9.364433907313582,0
129,1,1,1,0,125.0,360.0,1,0,1,0,1,0,0,0,8.646465527120377,1
